Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Novak Djokovic,2009.2991862978033,75.0061295787532,1188,990,0,198,0
Rafael Nadal,1951.2107330795302,77.81613636727049,1250,1036,0,214,4
Daniil Medvedev,1936.909138462855,69.12174534886836,297,204,0,93,0
Alexander Zverev,1927.364272965451,69.76003552424052,426,290,0,136,0
Matteo Berrettini,1864.1184998080612,71.10964275969151,170,109,0,61,0
Stefanos Tsitsipas,1857.5830969782542,69.19198473907102,276,185,0,91,0
Roger Federer,1835.7186452650826,79.76833007565453,1504,1244,0,260,8
Andrey Rublev,1806.1362531094978,70.11643094620884,276,174,0,102,0
Casper Ruud,1785.1668253741582,69.51319887751484,162,99,0,63,0
Pablo Carreno Busta,1778.3812732186502,69.11595860658281,406,226,0,180,0
John Isner,1765.0113424635315,69.82431967795081,734,454,0,280,0
Felix Auger Aliassime,1764.3166962198547,66.3018607182621,167,96,0,71,0
Kei Nishikori,1761.904159623288,69.86943384875502,649,433,0,216,0
Jannik Sinner,1754.6568774585792,69.99425067054813,97,60,0,37,0
Ilya Ivashka,1736.5428365674754,67.76115573052937,98,51,0,47,0
Carlos Alcaraz Garfia,1735.0765760341576,71.83510792184066,38,23,0,15,0
Milos Raonic,1733.423237082029,79.16473993312302,561,377,0,184,5
Sebastian Korda,1732.7167311403996,74.82960157865297,43,26,0,17,0
Dominic Thiem,1729.1980682324402,74.48236856932044,475,308,0,167,9
Karen Khachanov,1725.4260976644264,67.20778322439588,293,164,0,129,0
Hubert Hurkacz,1721.0867444631467,69.91168994989094,143,74,0,69,0
Cameron Norrie,1716.2747129444774,69.08158106569188,167,88,0,79,0
Diego Schwartzman,1711.963423649383,69.11894392453124,353,194,0,159,0
Reilly Opelka,1704.5510416121817,67.69581786645495,129,66,0,63,0
Lloyd Harris,1702.0222995150061,68.0702185317904,107,56,0,51,0
Aslan Karatsev,1700.0036862822358,74.95343612131829,54,29,0,25,0
Stan Wawrinka,1694.9178903941995,72.31481580994115,849,536,0,313,23
Borna Coric,1690.3107466373483,68.37532325477241,309,166,0,143,24
Roberto Bautista Agut,1687.2123486345324,68.55254560033676,542,338,0,204,0
Denis Shapovalov,1686.0663187801188,69.36813006249895,230,129,0,101,0
Ugo Humbert,1680.0561440948773,69.91077034216947,115,60,0,55,0
Frances Tiafoe,1679.3346504443239,67.85086687450288,200,90,0,110,0
Daniel Evans,1676.192526611227,69.02635555340623,192,93,0,99,0
Lorenzo Sonego,1671.3965165834743,70.2524969474523,123,61,0,62,0
Marin Cilic,1670.2692553675429,70.36243722350996,843,540,0,303,0
Nick Kyrgios,1670.1810075584233,81.03318822645083,270,169,0,101,0
Alejandro Davidovich Fokina,1665.616313975593,72.76716665648635,72,38,0,34,0
Kevin Anderson,1665.3666708231938,75.16384386125239,597,353,0,244,0
Andy Murray,1664.89164044559,80.06879833432136,903,691,0,212,0
Marton Fucsovics,1664.7465922225958,71.8385342633578,205,106,0,99,0
Nikoloz Basilashvili,1657.6740174013028,68.3487724781902,255,122,0,133,0
Mikael Ymer,1657.3862302922973,70.69627268339589,72,35,0,37,0
Jeremy Chardy,1654.8296465783167,73.84463235898322,602,299,0,303,0
Grigor Dimitrov,1653.5186804098912,72.7884600713418,566,340,0,226,0
Dominik Koepfer,1647.4103556617165,72.20213370169215,64,31,0,33,0
Alex De Minaur,1645.952656910007,70.17668469676768,178,103,0,75,0
Cristian Garin,1644.797339229145,79.26681281099408,35,20,0,15,0
Lorenzo Musetti,1641.8090007240457,78.18355449746758,39,22,0,17,0
Alexander Bublik,1640.5662044412452,68.03147264486947,128,64,0,64,0
Jack Sock,1638.7005056483692,84.9116229757389,308,172,0,136,0
Mackenzie McDonald,1638.2378247925128,71.95035674674254,89,38,0,51,0
Gael Monfils,1632.7306688653077,71.48848409633567,799,503,0,296,0
Marcos Giron,1631.4916285837783,70.78314338351475,59,27,0,32,0
Taylor Fritz,1628.407447389703,69.94752279817097,235,118,0,117,0
Vasek Pospisil,1627.60172470721,74.85943564334518,292,128,0,164,0
Fabio Fognini,1624.8697294396052,70.12404275673549,722,386,0,336,0
Emil Ruusuvuori,1622.8465679863152,69.37207757972276,60,30,0,30,0
Richard Gasquet,1621.7917300999895,71.24327714976918,916,564,0,352,0
Pedro Martinez,1621.0786292057453,74.9625982398175,48,22,0,26,0
Filip Krajinovic,1617.6461219102746,71.89181675397629,193,98,0,95,0
Jordan Thompson,1614.3638958043953,68.44809626714238,168,75,0,93,0
Laslo Djere,1612.552182690791,70.02137919444846,149,73,0,76,0
Aljaz Bedene,1611.659632484484,70.20711462240735,285,134,0,151,6
Federico Delbonis,1608.5351620346996,70.29663350909293,326,154,0,172,0
Tommy Paul,1606.9507850117448,72.05049247426584,86,40,0,46,0
Alexei Popyrin,1605.5639500804339,71.92705840310846,79,34,0,45,0
Peter Gojowczyk,1605.513502118145,77.2216563025951,151,69,0,82,0
Philipp Kohlschreiber,1602.971553732254,79.02127741186612,875,480,0,395,0
Alex Bolt,1596.3280011446916,89.524089577315,35,13,0,22,6
Daniel Elahi Galan,1593.6667656123855,79.25756802519643,42,22,0,20,4
Jan Lennard Struff,1591.917869354931,70.43320163002231,342,158,0,184,0
Soon Woo Kwon,1591.4998503941213,75.96363627457599,58,27,0,31,0
Albert Ramos,1586.7767410656254,70.39767795901233,505,240,0,265,0
David Goffin,1584.7830264348204,75.36471136025676,491,294,0,197,0
Steve Johnson,1582.6244024804646,72.14203872741392,362,181,0,181,0
Sam Querrey,1581.6607201773259,74.75840900126872,701,383,0,318,0
John Millman,1580.723903545791,70.61351977516452,224,101,0,123,0
Pablo Andujar,1580.6545600240597,75.72030073631568,378,155,0,223,0
Denis Kudla,1579.100973831496,77.37961924148404,167,61,0,106,0
Adrian Mannarino,1577.8665785780329,73.83128786242018,469,213,0,256,0
Henri Laaksonen,1576.2174806881922,82.72475498418761,103,43,0,60,0
Egor Gerasimov,1573.5344831351429,73.14682664394876,95,54,0,41,0
Pierre Hugues Herbert,1571.0784131942924,76.17519507589654,214,95,0,119,0
Yannick Hanfmann,1569.6073641145558,77.4084897574286,53,24,0,29,0
Corentin Moutet,1568.2801649020641,75.05963523083113,75,30,0,45,0
Dusan Lajovic,1567.5615068650498,70.32122751236894,337,149,0,188,0
Federico Coria,1566.2806710417303,75.2609685024177,47,21,0,26,0
Roberto Carballes Baena,1563.9210184573167,73.85605250314806,140,62,0,78,0
Gianluca Mager,1561.9196590372428,75.53909998672265,44,19,0,25,0
Jo-Wilfried Tsonga,1559.7601392179838,81.14102265601397,705,471,0,234,8
Marco Cecchinato,1556.6582470177618,71.06725089634855,169,65,0,104,0
Robin Haase,1556.6357072672517,82.40245685464096,499,229,0,270,24
Ernesto Escobedo,1556.050870224302,97.83176171811378,51,19,0,32,0
Benoit Paire,1555.5152201935716,69.9092324004848,500,236,0,264,0
Andrey Kuznetsov,1555.1697575082305,116.27583143814017,178,79,0,99,18
Matthew Ebden,1552.1786885186934,88.58269317788694,206,79,0,127,6
Miomir Kecmanovic,1551.3786837411499,72.57978923901587,105,51,0,54,0
Guido Pella,1550.6606308186733,74.67492039326596,255,118,0,137,0
Andreas Seppi,1549.58010269353,75.0078677158929,801,386,0,415,0
James Duckworth,1548.6775607156967,75.87715218903665,104,37,0,67,0
Yoshihito Nishioka,1545.3248506959796,71.9345242645707,165,74,0,91,0
Pablo Cuevas,1534.5643633557434,76.60846704462875,455,238,0,217,0
Thanasi Kokkinakis,1533.3483884383506,102.38809948415994,77,29,0,48,6
Damir Dzumhur,1530.7298502506555,84.14752026442046,251,120,0,131,6
Tennys Sandgren,1528.895026846369,75.74830767707407,117,46,0,71,0
Thiago Monteiro,1528.5653154614827,74.84736780725214,133,55,0,78,0
Fernando Verdasco,1527.4803060471986,78.29722328364477,985,554,0,431,8
Jiri Vesely,1526.9613724025628,74.83279000598543,285,132,0,153,0
Dustin Brown,1524.7263877177904,118.018578042676,161,62,0,99,11
Nicolas Jarry,1523.9719584614795,82.4609216215343,111,53,0,58,23
Lukas Lacko,1523.66933388636,106.27729383030017,246,98,0,148,10
Ricardas Berankis,1523.2589552762122,75.15894158983248,255,118,0,137,0
Renzo Olivo,1518.4551022088385,115.30402777386152,54,23,0,31,6
Bjorn Fratangelo,1513.9270009159977,96.5450526771362,60,22,0,38,5
Andrej Martin,1512.9432638753112,81.19367706100296,64,27,0,37,6
Norbert Gombos,1511.9543657029583,76.6626537439663,71,22,0,49,0
Lucas Pouille,1509.8019382789546,78.43978108779913,257,136,0,121,0
Mikhail Kukushkin,1507.9339077366612,80.2122578428628,390,169,0,221,0
Malek Jaziri,1504.1055161847798,85.94810974534163,236,98,0,138,22
Facundo Bagnis,1503.6966396750868,78.7851377123786,88,30,0,58,0
Ernests Gulbis,1501.4949857514807,96.09659433100266,483,245,0,238,5
