Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Novak Djokovic,2018.460220178694,73.53269320357785,1147,955,0,192,1
Daniil Medvedev,1946.884775780593,65.9838814687055,251,167,0,84,1
Rafael Nadal,1939.6365653356397,76.11815388768666,1226,1016,0,210,1
Andrey Rublev,1886.4852221620777,67.83052235255376,225,137,0,88,1
Stefanos Tsitsipas,1861.333638339696,67.29462702623948,218,141,0,77,1
Dominic Thiem,1857.783311897987,69.76639217268942,463,303,0,160,1
Alexander Zverev,1842.635946717904,67.23950494495709,378,251,0,127,1
Milos Raonic,1771.2484781686526,68.99223458502674,555,374,0,181,1
Jannik Sinner,1757.5526307741284,70.62155044979859,54,32,0,22,0
Grigor Dimitrov,1756.5479363505046,68.34863279927723,545,331,0,214,1
Matteo Berrettini,1755.7836924270182,69.9730602686202,133,79,0,54,1
Pablo Carreno Busta,1754.0841866236487,69.12370468221194,366,198,0,168,1
Nick Kyrgios,1743.3798199275952,78.54895683214082,262,166,0,96,1
Vasek Pospisil,1737.719245439023,72.25402646580677,276,122,0,154,1
Stan Wawrinka,1735.2909776992624,71.7290789137327,847,536,0,311,1
Roberto Bautista Agut,1728.9064591593924,68.93968950444382,501,314,0,187,0
Alex De Minaur,1722.0072516941686,67.90433214147579,149,89,0,60,1
Kevin Anderson,1710.6082080613942,73.68104567590497,580,344,0,236,1
Diego Schwartzman,1709.1162330283144,69.77938882709526,318,172,0,146,0
Daniel Evans,1707.4208252089109,67.68034034211239,161,78,0,83,1
Filip Krajinovic,1703.983977162182,72.89506695711518,166,85,0,81,1
Ugo Humbert,1703.1258507910395,69.16361854758397,83,44,0,39,0
Jeremy Chardy,1699.2406559843216,71.63644750631285,574,286,0,288,1
Casper Ruud,1691.5541002003604,68.73423852474004,113,61,0,52,1
David Goffin,1688.379839190687,68.99585671562693,472,287,0,185,0
Jo-Wilfried Tsonga,1687.3739841324912,83.31033873746254,697,470,0,227,0
Denis Shapovalov,1686.733807499895,69.426688353559,192,106,0,86,1
Felix Auger Aliassime,1685.2188499047816,66.1241192742801,124,70,0,54,1
Marcelo Arevalo,1683.8931054125544,128.10810872834472,41,24,0,17,16
Andy Murray,1678.7561924394665,82.36899094149325,891,685,0,206,0
Karen Khachanov,1678.5608780539187,69.20711836225178,253,141,0,112,1
Borna Coric,1675.5120775378437,69.3650450400204,305,163,0,142,1
Egor Gerasimov,1672.5178796149416,69.3192465062968,74,47,0,27,0
Gael Monfils,1668.6835637806198,74.32457366514231,779,494,0,285,1
Christian Garin,1651.0722805296866,71.62834397275942,113,60,0,53,3
Marton Fucsovics,1649.9993700239447,70.6237633410097,171,87,0,84,1
Jerzy Janowicz,1649.7688080647185,127.28197487678749,198,102,0,96,16
Alejandro Davidovich Fokina,1648.7363306417647,78.2023656321811,36,18,0,18,0
Fabio Fognini,1647.6493869567382,70.50470042697421,691,371,0,320,1
Alexander Bublik,1646.6604098366506,66.52977600051412,88,44,0,44,0
John Isner,1643.124255177025,74.83835071055108,704,433,0,271,3
Adrian Mannarino,1639.995010479035,66.64843833701475,448,207,0,241,0
Kyle Edmund,1639.4595022786943,71.48496895483154,234,118,0,116,8
Alexei Popyrin,1638.567110939455,74.911645718073,53,23,0,30,0
Kei Nishikori,1637.086909390228,80.99795981967893,609,407,0,202,1
Lorenzo Sonego,1636.6687486616263,69.87769579446635,87,40,0,47,0
Marin Cilic,1633.2213450557083,70.10825405950905,809,520,0,289,0
Lucas Pouille,1632.642596132276,86.53052162412692,241,132,0,109,0
Richard Gasquet,1631.6181104806035,71.93018533372796,888,550,0,338,2
Reilly Opelka,1631.2586886105048,72.6540098622933,97,49,0,48,1
Hubert Hurkacz,1629.1956814631249,69.2154770754238,110,54,0,56,0
Frances Tiafoe,1628.8424914858608,70.35689741406877,164,70,0,94,1
Jan Lennard Struff,1628.269463166124,69.93821642072076,307,142,0,165,0
Stefano Travaglia,1625.829090439699,73.19047306556183,53,22,0,31,1
Aljaz Bedene,1625.308096050566,72.03760963504438,261,122,0,139,0
Nicolas Mahut,1625.0215010840038,101.88416405573396,407,181,0,226,2
Feliciano Lopez,1620.807695635812,74.37839340479586,958,500,0,458,1
Miomir Kecmanovic,1619.1248873169684,70.31898569134613,80,42,0,38,0
Taylor Fritz,1616.68703765783,69.85357471056008,202,100,0,102,1
Yoshihito Nishioka,1613.3895437210579,70.23631806450523,142,67,0,75,0
Andrey Kuznetsov,1613.3073007238454,111.03840543070237,177,79,0,98,14
John Millman,1611.6196860104822,69.73111494831218,194,88,0,106,0
Tommy Paul,1611.4712880560712,70.95441705772683,60,29,0,31,1
Jiri Vesely,1610.9845130741862,71.10756133475967,270,127,0,143,0
Yannick Hanfmann,1608.2791230031162,87.2926369510055,35,16,0,19,0
Christopher Rungkat,1608.116044937328,168.14699113640282,31,19,0,12,16
Jordan Thompson,1607.4107645867,70.33815872703664,133,57,0,76,1
Radu Albot,1607.3914147034532,68.57509258149378,193,85,0,108,0
Corentin Moutet,1607.0722732234692,72.88871521789227,57,23,0,34,1
Mikael Ymer,1606.4597687898759,81.45763846657951,47,21,0,26,0
Cameron Norrie,1604.64777535376,71.69008248192551,119,56,0,63,1
Mackenzie McDonald,1601.8696211825556,75.59580325966135,67,27,0,40,1
Fernando Verdasco,1601.0460327773462,73.54462713448322,976,552,0,424,7
