tourney_date,tourney_name,surface,round,best_of,winner_name,loser_name,score
2021-08-30,Us Open,Hard,F,5,Daniil Medvedev,Novak Djokovic,6-4 6-4 6-4
2021-08-30,Us Open,Hard,SF,5,Novak Djokovic,Alexander Zverev,4-6 6-2 6-4 4-6 6-2
2021-08-30,Us Open,Hard,SF,5,Daniil Medvedev,Felix Auger Aliassime,6-4 7-5 6-2
2021-08-30,Us Open,Hard,QF,5,Novak Djokovic,Matteo Berrettini,5-7 6-2 6-2 6-3
2021-08-30,Us Open,Hard,QF,5,Alexander Zverev,Lloyd Harris,7-6(6) 6-3 6-4
2021-08-30,Us Open,Hard,QF,5,Felix Auger Aliassime,Carlos Alcaraz Garfia,6-3 3-1 RET
2021-08-30,Us Open,Hard,R16,5,Alexander Zverev,Jannik Sinner,6-4 6-4 7-6(7)
2021-08-30,Us Open,Hard,R16,5,Lloyd Harris,Reilly Opelka,6-7(6) 6-4 6-1 6-3
2021-08-30,Us Open,Hard,R16,5,Felix Auger Aliassime,Frances Tiafoe,4-6 6-2 7-6(6) 6-4
2021-08-30,Us Open,Hard,R16,5,Carlos Alcaraz Garfia,Peter Gojowczyk,5-7 6-1 5-7 6-2 6-0
2021-08-30,Us Open,Hard,R16,5,Daniil Medvedev,Daniel Evans,6-3 6-4 6-3
2021-08-30,Us Open,Hard,R32,5,Novak Djokovic,Kei Nishikori,6-7(4) 6-3 6-3 6-2
2021-08-30,Us Open,Hard,R32,5,Matteo Berrettini,Ilya Ivashka,6-7(5) 6-2 6-4 2-6 6-3
2021-08-30,Us Open,Hard,R32,5,Alexander Zverev,Jack Sock,3-6 6-2 6-3 2-1 RET
2021-08-30,Us Open,Hard,R32,5,Jannik Sinner,Gael Monfils,7-6(1) 6-2 4-6 4-6 6-4
2021-08-30,Us Open,Hard,R32,5,Reilly Opelka,Nikoloz Basilashvili,7-6(5) 6-3 6-4
2021-08-30,Us Open,Hard,R32,5,Lloyd Harris,Denis Shapovalov,6-4 6-4 6-4
2021-08-30,Us Open,Hard,R32,5,Frances Tiafoe,Andrey Rublev,4-6 6-3 7-6(6) 4-6 6-1
2021-08-30,Us Open,Hard,R32,5,Felix Auger Aliassime,Roberto Bautista Agut,6-3 6-4 4-6 3-6 6-3
2021-08-30,Us Open,Hard,R32,5,Peter Gojowczyk,Henri Laaksonen,3-6 6-3 6-1 6-4
2021-08-30,Us Open,Hard,R32,5,Carlos Alcaraz Garfia,Stefanos Tsitsipas,6-3 4-6 7-6(2) 0-6 7-6(5)
2021-08-30,Us Open,Hard,R32,5,Daniel Evans,Alexei Popyrin,4-6 3-6 6-3 6-4 7-6(1)
2021-08-30,Us Open,Hard,R32,5,Daniil Medvedev,Pablo Andujar,6-0 6-4 6-3
2021-08-30,Us Open,Hard,R64,5,Kei Nishikori,Mackenzie McDonald,7-6(3) 6-3 6-7(5) 2-6 6-3
2021-08-30,Us Open,Hard,R64,5,Aslan Karatsev,Jordan Thompson,3-6 3-6 7-5 7-6(9) 6-1
2021-08-30,Us Open,Hard,R64,5,Andreas Seppi,Hubert Hurkacz,2-6 6-4 6-4 7-6(6)
2021-08-30,Us Open,Hard,R64,5,Ilya Ivashka,Vasek Pospisil,6-3 6-4 7-6(5)
2021-08-30,Us Open,Hard,R64,5,Matteo Berrettini,Corentin Moutet,7-6(2) 4-6 6-4 6-3
2021-08-30,Us Open,Hard,R64,5,Alexander Zverev,Albert Ramos,6-1 6-0 6-3
2021-08-30,Us Open,Hard,R64,5,Jack Sock,Alexander Bublik,7-6(3) 6-7(2) 6-4 4-6 6-3
2021-08-30,Us Open,Hard,R64,5,Gael Monfils,Steve Johnson,7-5 4-6 6-4 6-4
2021-08-30,Us Open,Hard,R64,5,Reilly Opelka,Lorenzo Musetti,7-6(1) 7-5 6-4
2021-08-30,Us Open,Hard,R64,5,Lloyd Harris,Ernesto Escobedo,6-4 6-4 6-2
2021-08-30,Us Open,Hard,R64,5,Denis Shapovalov,Roberto Carballes Baena,7-6(7) 6-3 6-0
