Player,706.Rating,707.Rating,708.Rating,709.Rating,710.Rating,711.Rating,712.Rating,713.Rating,714.Rating,715.Rating,716.Rating,717.Rating,718.Rating,719.Rating,720.Rating,721.Rating,722.Rating,723.Rating,724.Rating,725.Rating,726.Rating,727.Rating,728.Rating,729.Rating,730.Rating,731.Rating,732.Rating,733.Rating,734.Rating,735.Rating,736.Rating,737.Rating,738.Rating,739.Rating,740.Rating,741.Rating,742.Rating,743.Rating,744.Rating,745.Rating,746.Rating,747.Rating,748.Rating,749.Rating,750.Rating,751.Rating,752.Rating,753.Rating,754.Rating,755.Rating,756.Rating,757.Rating,758.Rating,759.Rating,760.Rating,761.Rating,762.Rating,763.Rating,764.Rating,765.Rating,766.Rating,767.Rating,768.Rating,769.Rating,770.Rating,771.Rating,772.Rating,773.Rating,774.Rating,775.Rating,776.Rating,777.Rating,778.Rating,779.Rating,780.Rating,781.Rating,782.Rating,783.Rating,784.Rating,785.Rating,786.Rating,787.Rating,788.Rating,789.Rating,790.Rating,791.Rating,792.Rating,793.Rating,794.Rating,795.Rating,796.Rating,797.Rating,798.Rating,799.Rating,800.Rating,801.Rating,802.Rating,803.Rating,804.Rating,805.Rating
Adrian Mannarino,1653.5998111138958,1637.3862228459166,1640.9275585071262,1640.9275585071262,1629.3918746463435,1616.8144911493173,1600.943966947735,1591.3193327494798,1580.6918828003234,1607.5489993152007,1635.7415146547673,1661.7159254773637,1645.9031065237023,1645.9031065237023,1634.5619912685668,1621.0912391160593,1634.2883223160031,1634.2883223160031,1622.4617468420731,1622.4617468420731,1607.0966163936637,1590.6186072594696,1587.6009494273274,1572.0048909488212,1621.8913195611308,1610.5405344642422,1616.111117040587,1616.111117040587,1616.111117040587,1616.111117040587,1604.356363386127,1580.9759945142316,1581.4040174873187,1581.4040174873187,1564.2154024134356,1548.899330857313,1569.4670893779912,1561.2331090757689,1573.2204358818074,1585.3035887223414,1585.3035887223414,1585.3035887223414,1571.414033731924,1571.414033731924,1571.414033731924,1582.4493071542759,1582.4493071542759,1568.1250420739316,1569.2281061089031,1654.0447034012689,1654.0447034012689,1646.3881501408969,1635.8451551280552,1617.912226661191,1617.912226661191,1603.577210286084,1626.6727448051588,1644.2934352819532,1644.2934352819532,1629.8384353655267,1629.8384353655267,1627.3041390424169,1663.84212472062,1646.1829564047691,1646.1829564047691,1677.5923648979986,1666.9471191732443,1678.3431031569698,1678.3431031569698,1678.3431031569698,1660.4621279219266,1643.5585748902195,1640.1594069340247,1640.613901492192,1629.918059284262,1614.2925026383582,1613.6900728755654,1613.6900728755654,1603.3055248566068,1614.6762088441246,1614.6762088441246,1608.9923094675692,1594.6271513125394,1580.4042526049295,1563.224920193571,1590.819357414838,1606.9236623359998,1629.2798471239107,1651.250821461511,1651.250821461511,1633.4837457312713,1630.9324493797428,1646.761878918451,1639.995010479035,1626.8146737669838,1626.8146737669838,1620.9553972593078,1626.1282942014263,1626.1282942014263,1607.837703442632
Albert Ramos,1577.1636823752265,1583.5331190064624,1578.6139925640412,1566.7885191050693,1573.3808178616055,1603.6534772604637,1589.0919327878858,1607.4820408489347,1607.4820408489347,1607.4820408489347,1607.4820408489347,1587.3452897899492,1577.1529372696189,1565.0367010203136,1565.0367010203136,1555.2834938972876,1551.8991910562765,1535.4850912517838,1533.2293975869413,1557.1490894643196,1557.1490894643196,1573.3837680506147,1576.6830296098135,1564.1853705089566,1568.111256615598,1566.0340662760207,1566.0340662760207,1566.0340662760207,1566.0340662760207,1566.0340662760207,1558.9195894025556,1541.8133087958786,1532.4369409338276,1532.4369409338276,1526.3637705977885,1545.2733012165938,1563.5647575370083,1556.3156899657256,1583.1549780305395,1602.4257433009338,1602.4257433009338,1581.3089431126416,1581.3089431126416,1593.4257023832338,1593.4257023832338,1579.6258658286986,1592.2816988709078,1601.4922458144931,1590.2135193261497,1590.2135193261497,1590.2135193261497,1590.2135193261497,1574.587381731261,1598.4827542211424,1654.406898364367,1690.786758893028,1690.786758893028,1690.786758893028,1678.5728899912788,1667.6593823488847,1667.6593823488847,1667.6593823488847,1693.4955520373865,1679.5869298892553,1691.1865448633341,1691.1865448633341,1683.0679137187221,1683.0679137187221,1683.0679137187221,1683.0679137187221,1683.0679137187221,1681.1903506308306,1658.0627695963772,1659.8564997752962,1648.4221648289847,1632.1093207165684,1627.3494138196418,1627.3494138196418,1627.3494138196418,1625.3380477419444,1605.9237015841572,1597.8935933586292,1584.5669628497726,1588.1772819032906,1582.6567139224667,1568.8215505071728,1568.8215505071728,1554.1775153901683,1554.1775153901683,1554.1775153901683,1554.1775153901683,1545.650019090799,1533.4529187658234,1571.4669729671352,1584.4659144983648,1584.4659144983648,1577.435061934817,1577.435061934817,1594.1500233406443,1591.129415436877
Alejandro Davidovich Fokina,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1419.6996594657958,1419.6996594657958,1419.6996594657958,1738.444380988008,1669.2893514700213,1669.2893514700213,1669.2893514700213,1601.8119037028498,1567.9359218132377,1567.9359218132377,1567.9359218132377,1567.9359218132377,1515.4382790204966,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1470.8790856986166,1494.152375331176,1494.152375331176,1494.152375331176,1448.345174970657,1478.3738695541638,1478.3738695541638,1478.3738695541638,1564.3902913080979,1564.3902913080979,1540.1861651621348,1540.1861651621348,1546.9005119611152,1600.203919558661,1622.4320235247765,1622.4320235247765,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1648.7363306417647,1653.2711794319555,1645.1651683593057,1645.440330397846,1645.440330397846,1632.9341348509713,1676.5801871105
Alex De Minaur,1643.3930311965323,1643.3930311965323,1643.3930311965323,1637.2032638212568,1637.2032638212568,1637.2032638212568,1637.2032638212568,1622.8629280362777,1622.8629280362777,1622.8629280362777,1593.8842013968226,1642.7683728630277,1615.1056343273403,1609.8292935239924,1696.0273392767633,1696.0273392767633,1696.0273392767633,1675.604175993622,1696.1727546842244,1664.0997103302705,1664.0997103302705,1672.983612344691,1674.5469251483548,1685.472037003063,1670.4775764320837,1670.4775764320837,1655.02966766373,1681.1671079517523,1681.1671079517523,1681.1671079517523,1675.2439798743492,1721.9017045237467,1733.837596159414,1736.324900870526,1736.324900870526,1736.324900870526,1736.324900870526,1741.3092809012353,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1701.094622040502,1681.1257546094353,1662.510808509537,1662.510808509537,1647.6677423181904,1641.7884052198367,1622.0321581341957,1622.0321581341957,1617.5881730390229,1617.5881730390229,1664.0362292604977,1642.2799222651327,1627.6243739034246,1637.3369632941024,1637.3369632941024,1665.0746070563837,1665.0746070563837,1665.0746070563837,1727.638134114919,1707.0017347785372,1694.3540189151297,1694.3540189151297,1727.091216640258,1736.0837565802565,1736.0837565802565,1768.9044503006878,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1752.396086700938,1752.396086700938,1734.80662058027,1762.9539913240983,1762.9539913240983,1738.012010388384,1738.012010388384,1709.788622449381,1709.788622449381,1732.5356656755216,1732.5356656755216,1735.0617887923327,1720.5320047237158,1720.5320047237158,1751.9123220088354,1728.8627596032513,1722.0072516941686,1722.0072516941686,1713.2024989790166,1713.2024989790166,1699.3687216005358,1678.9510599130688,1678.9510599130688,1662.472011097425
Alexander Bublik,1523.6126589079981,1523.6126589079981,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1596.200038530471,1596.200038530471,1576.7813250606407,1576.7813250606407,1535.5815379484015,1608.7079197404066,1586.8508312610363,1578.40886015174,1578.40886015174,1578.40886015174,1555.2536981039814,1571.711482976402,1571.711482976402,1558.1847151801144,1620.858819986558,1620.858819986558,1608.818477018187,1601.585703717933,1597.1795469751185,1597.1795469751185,1597.1795469751185,1596.4754849055423,1603.3123438406071,1606.7390286896534,1590.671688070758,1595.52295054274,1604.4043910999062,1646.3229640315603,1656.486312829528,1671.4303355046593,1658.547751286838,1646.8833088149693,1625.698969382926,1615.158502519746,1631.4968287926147,1631.9502151954723,1632.3289700416012,1632.3289700416012,1613.0038529055373,1601.355172166513,1601.355172166513,1601.355172166513,1641.7911740464158,1631.5991491569189,1627.976920683287,1646.6604098366506,1653.3316380224674,1647.4815835077875,1650.1201826564677,1671.1417531020309,1671.1417531020309,1660.2809876527415
Alexander Zverev,1803.5136320036224,1807.5367296893437,1807.5367296893437,1834.9204960922439,1866.8224742771718,1883.872251591746,1883.872251591746,1882.8401159037976,1882.8401159037976,1861.2417467732307,1861.2417467732307,1840.488442715958,1840.488442715958,1840.488442715958,1873.5104935005004,1855.6204860070393,1829.1546106965318,1829.1546106965318,1811.1651896992234,1811.1651896992234,1811.1651896992234,1811.1651896992234,1794.265191288356,1815.6301391070197,1815.6301391070197,1804.0961081964692,1802.000026723515,1802.000026723515,1858.6094624585896,1858.6094624585896,1858.6094624585896,1858.6094624585896,1845.0406107815706,1842.5659926309784,1842.5659926309784,1842.5659926309784,1842.5659926309784,1843.3089750931501,1826.149099263454,1797.570241950174,1797.570241950174,1775.1003604281077,1762.8997804512665,1736.2960569077613,1723.8144202498486,1732.2941897974679,1716.0673604582123,1741.0049334207995,1768.8761165886647,1742.059705149253,1738.455944388648,1738.455944388648,1713.9271709717405,1713.9271709717405,1729.0251402620347,1729.0251402620347,1733.2917961128262,1715.680994997555,1715.680994997555,1730.5493887340763,1730.5493887340763,1730.5493887340763,1730.5493887340763,1747.9593221408636,1793.4776142721466,1793.4776142721466,1771.8550117715822,1762.6934420668867,1781.784708375359,1781.784708375359,1747.530997229486,1747.530997229486,1789.4538508840947,1789.4538508840947,1789.4538508840947,1789.4538508840947,1771.0209490620757,1771.0209490620757,1756.2352590207872,1794.2318531406418,1794.2318531406418,1794.2318531406418,1794.2318531406418,1785.0833890327747,1809.3135622802167,1836.961616047712,1836.961616047712,1858.068888709188,1858.068888709188,1846.180420645621,1846.180420645621,1834.185347738521,1842.635946717904,1842.635946717904,1818.9033736591055,1818.9033736591055,1855.5731163411392,1827.8979641807284,1827.8979641807284,1812.4703507260479
Alexei Popyrin,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1293.4962589040006,1449.853842428083,1449.853842428083,1449.853842428083,1449.853842428083,1449.853842428083,1421.0459662382818,1406.7466480218652,1547.2165053868373,1580.5699623855903,1580.5699623855903,1531.0183160013125,1531.0183160013125,1525.1599584300757,1548.0619634845782,1548.0619634845782,1548.0619634845782,1548.0619634845782,1525.8821160379819,1525.8821160379819,1500.9238954594582,1500.9238954594582,1500.9238954594582,1500.9238954594582,1512.7312281595232,1504.7478416963643,1504.7478416963643,1504.7478416963643,1530.7230072872117,1530.7230072872117,1567.4468758579796,1552.7525774514118,1552.7525774514118,1552.7525774514118,1555.5690447524044,1587.465647738544,1587.465647738544,1587.465647738544,1571.4145821519414,1575.1606443201506,1575.1606443201506,1576.514205380496,1567.8493263083171,1567.8493263083171,1567.8493263083171,1567.8493263083171,1567.8493263083171,1549.2010579154664,1587.612198890867,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1555.7235135815667,1555.7235135815667,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1566.7997124915296,1574.409907902449,1638.567110939455,1638.567110939455,1638.567110939455,1634.586647101412,1657.9869827292605,1657.9869827292605,1647.2337266863995
Aljaz Bedene,1649.7321370896088,1663.8011693100602,1671.3429086287888,1647.3133766464553,1647.3133766464553,1666.4515778375478,1666.4515778375478,1651.5514677470167,1629.1215776534013,1634.3411413167541,1634.3411413167541,1624.5945465359027,1624.0891876460223,1625.1889177113676,1625.1889177113676,1625.1889177113676,1625.1889177113676,1625.1889177113676,1608.2078003257168,1608.2078003257168,1599.414027389855,1599.414027389855,1599.414027389855,1599.414027389855,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1586.552688991141,1586.552688991141,1585.9199743682311,1585.9199743682311,1604.9571256002941,1599.4483572558918,1612.8172498746274,1612.8172498746274,1612.8172498746274,1595.2581901147685,1595.2581901147685,1579.004799725404,1569.2998300331133,1571.2751520363458,1571.2751520363458,1571.2751520363458,1571.2751520363458,1571.2751520363458,1566.2822768127746,1556.3818675993957,1570.0218208475926,1570.0218208475926,1565.9205404356956,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1599.915365441958,1612.0264453129264,1654.2182097568596,1654.2182097568596,1654.2182097568596,1654.2182097568596,1629.955063578411,1646.1839446809222,1646.1839446809222,1646.1839446809222,1646.1839446809222,1658.6659314213261,1640.2368277844316,1625.6879506909806,1611.6860209298238,1635.1649386741917,1635.7599985621566,1635.7599985621566,1635.7599985621566,1659.7869872466547,1640.49905727841,1640.49905727841,1640.49905727841,1640.49905727841,1652.171801277086,1652.171801277086,1643.5555193004864,1631.0802800539427,1623.7104208942644,1623.7104208942644,1623.7104208942644,1623.7104208942644,1630.7112663883388,1615.8562377257665,1625.308096050566,1625.308096050566,1625.308096050566,1623.8481472029093,1619.8568940688526,1628.0236456250445,1628.0236456250445
Andrey Kuznetsov,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1594.6995831063514,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454,1613.3073007238454
Andrey Rublev,1646.8680588771645,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1649.1608086124747,1633.237541654513,1610.7523643221737,1634.2582191990427,1613.7601251884366,1608.3141548038857,1593.9779163191836,1581.8645500996222,1581.8645500996222,1569.4533102118085,1569.4533102118085,1578.8601631150198,1570.2987633791117,1565.014150945189,1567.6233966552238,1567.6233966552238,1587.5097177779087,1587.5097177779087,1587.5097177779087,1594.2698192445587,1599.18059049119,1582.5541420004593,1582.5541420004593,1582.5541420004593,1582.5541420004593,1609.3991243822659,1609.3991243822659,1613.7497368011075,1632.092349008005,1632.092349008005,1632.092349008005,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1616.7367320441028,1623.858734593059,1620.3251884079446,1670.7060626836128,1648.4966563088187,1648.4966563088187,1699.7270587633916,1717.2385457027603,1741.11740528229,1741.11740528229,1744.5328188465835,1744.5328188465835,1738.2926568649625,1743.7867548558863,1787.2277959785204,1786.9434046473377,1770.7398163376124,1770.7398163376124,1797.6809787534255,1815.380083521335,1838.229261641759,1833.1587882177096,1833.1587882177096,1824.441530653603,1824.441530653603,1816.255831461688,1816.255831461688,1796.7869974093433,1808.8507510435766,1808.8507510435766,1786.431409122047,1833.5836506608425,1840.944830992429,1870.2559862873552,1870.2559862873552,1899.839655152687,1879.4550325472196,1879.4550325472196,1867.424497617797,1867.424497617797,1882.9900388347694,1886.4852221620777,1886.4852221620777,1916.9702078370826,1902.6364290777005,1894.0982972540692,1890.7677299679433,1890.7677299679433,1905.1694322177082
